"地區","姓名","號次","性別","出生年次","推薦政黨","得票數","得票率","當選註記","是否現任"
"連江縣第01選區","陳雪生",1,"男",1952,"中國國民黨",2927,68.06%,*,"是"
"連江縣第01選區","林金官",2,"男",1945,"無黨籍及未經政黨推薦",760,17.67%,,"否"
"連江縣第01選區","蘇柏豪",3,"男",1986,樹黨,506,11.76%,,"否"
"連江縣第01選區","張春寶",4,"男",1956,"中華統一促進黨",107,2.48%,,"否"
"金門縣第01選區","洪志恒",1,"男",1968,"無黨籍及未經政黨推薦",647,1.78%,,"否"
"金門縣第01選區","陳滄江",2,"男",1955,"民主進步黨",8367,23.07%,,"否"
"金門縣第01選區","高丹樺",3,女,1961,"軍公教聯盟黨",666,1.83%,,"否"
"金門縣第01選區","張中法",4,"男",1961,"無黨籍及未經政黨推薦",670,1.84%,,"否"
"金門縣第01選區","楊鎮浯",5,"男",1972,"中國國民黨",16350,45.08%,*,"否"
"金門縣第01選區","陳仲立",6,"男",1958,"無黨籍及未經政黨推薦",49,0.13%,,"否"
"金門縣第01選區","陳德輝",7,"男",1980,"台灣工黨",113,0.31%,,"否"
"金門縣第01選區","吳成典",8,"男",1957,"新黨",9405,25.93%,,"否"
"宜蘭縣第01選區","陳歐珀",1,"男",1962,"民主進步黨",120393,53.67%,*,"是"
"宜蘭縣第01選區","孫博萮",2,女,1978,"無黨籍及未經政黨推薦",7189,3.20%,,"否"
"宜蘭縣第01選區","郭儒釗",3,"男",1956,"軍公教聯盟黨",1062,0.47%,,"否"
"宜蘭縣第01選區","李志鏞",4,"男",1966,"中國國民黨",63367,28.25%,,"否"
"宜蘭縣第01選區","林獻山",5,"男",1958,"泛盟黨",634,0.28%,,"否"
"宜蘭縣第01選區","吳子維",6,"男",1975,"大愛憲改聯盟",945,0.42%,,"否"
"宜蘭縣第01選區","吳紹文",7,女,1976,"綠黨社會民主黨聯盟",10730,4.78%,,"否"
"宜蘭縣第01選區","邱錫奎",8,"男",1961,"無黨籍及未經政黨推薦",19961,8.89%,,"否"
"新竹縣第01選區","林為洲",1,"男",1961,"中國國民黨",93495,36.74%,*,"否"
"新竹縣第01選區","黃秀龍",2,"男",1960,"無黨籍及未經政黨推薦",2776,1.09%,,"否"
"新竹縣第01選區","鄭永金",3,"男",1949,"無黨籍及未經政黨推薦",85170,33.47%,,"否"
"新竹縣第01選區","范振揆",4,"男",1971,"中華統一促進黨",909,0.35%,,"否"
"新竹縣第01選區","蘇雯英",5,女,1962,"健保免費連線",1603,0.63%,,"否"
"新竹縣第01選區","李宗華",6,"男",1979,"軍公教聯盟黨",1520,0.59%,,"否"
"新竹縣第01選區","卓恩宗",7,"男",1974,"信心希望聯盟",5442,2.13%,,"否"
"新竹縣第01選區","邱靖雅",8,女,1972,"民國黨",63512,24.96%,,"否"
"苗栗縣第01選區","杜文卿",1,"男",1954,"民主進步黨",47837,35.86%,,"否"
"苗栗縣第01選區","康世儒",2,"男",1964,"民國黨",23134,17.34%,,"否"
"苗栗縣第01選區","黃玉燕",3,女,1961,"無黨籍及未經政黨推薦",3074,2.30%,,"否"
"苗栗縣第01選區","陳超明",4,"男",1951,"中國國民黨",56373,42.26%,*,"是"
"苗栗縣第01選區","林一方",5,"男",1965,"自由台灣黨",2976,2.23%,,"否"
"苗栗縣第02選區","戴文祥",1,"男",1967,"無黨籍及未經政黨推薦",3076,2.09%,,"否"
"苗栗縣第02選區","徐志榮",2,"男",1955,"中國國民黨",73234,49.90%,*,"是"
